stop_id,stop_name,stop_lat,stop_lon
101712-STOP_14579,萬芳國小,25.001460,121.567299
101712-STOP_12619,鳳雛公園,25.026461,121.548418
101712-STOP_12769,民權松江路口,25.062119,121.533214
101712-STOP_12792,東山路,25.115877,121.539164
101712-STOP_12945,中興街口,25.011596,121.514746
101712-STOP_12947,永和路口,25.005688,121.512861
101712-STOP_13238,市立臺北特教學校,25.117330,121.534693
101712-STOP_13463,泰山國中,25.064055,121.426110
101712-STOP_134693,木南公園,24.984828,121.570110
101712-STOP_13494,金陵女中,25.042747,121.466564
101712-STOP_13516,明倫高中,25.074249,121.519975
101712-STOP_136154,指南山莊,24.989050,121.578490
101712-STOP_13643,景新里,25.029526,121.562385
101712-STOP_14242,碧潭橋頭,24.963158,121.539820
101712-STOP_143376,捷運昆陽站,25.050218,121.593651
101712-STOP_14611,順安街,24.986330,121.540782
101712-STOP_125332,臺北科技大學(忠孝),25.042220,121.534570
101712-STOP_125587,新安,25.124925,121.550043
101712-STOP_125623,大湖,25.084530,121.600182
101712-STOP_129882,捷運竹圍站,25.136296,121.459785
101712-STOP_13126,捷運南京復興站,25.051804,121.543561
101712-STOP_13141,陸軍後勤指揮部,25.049640,121.590960
101712-STOP_13276,仁愛新生路口,25.038512,121.532682
101712-STOP_13393,台電大樓,25.017546,121.531379
101712-STOP_13406,仁愛延吉街口,25.037622,121.555234
101712-STOP_13731,天玉里,25.121181,121.526718
101712-STOP_142246,青年公園(青年),25.026026,121.505984
101712-STOP_143364,泉源公園,25.142330,121.507530
101712-STOP_14478,復興北村,25.064979,121.544155
101712-STOP_14696,青潭國小一,24.953628,121.554816
101712-STOP_12521,台電台北北區營業處,25.091209,121.527703
101712-STOP_125619,成功路三段,25.079618,121.589940
101712-STOP_125211,武功國小(羅斯福),25.003274,121.538782
101712-STOP_125661,絹絲瀑布,25.151070,121.561760
101712-STOP_125664,菁山二,25.146668,121.558775
101712-STOP_12528,德行東路,25.108981,121.531684
101712-STOP_12770,民權吉林路口,25.062636,121.529148
101712-STOP_12529,蘭雅國中,25.109510,121.530650
101712-STOP_12812,民權吉林路口,25.062547,121.530064
101712-STOP_12871,中油大樓,25.039171,121.569464
101712-STOP_12873,捷運市政府站,25.040991,121.565249
101712-STOP_125599,岩山里一,25.103310,121.536920
101712-STOP_130019,富洲里,25.109126,121.468652
101712-STOP_125605,外雙溪(故宮),25.097355,121.546799
101712-STOP_130134,富德里,25.004246,121.595984
101712-STOP_125814,中山樓,25.151516,121.549642
101712-STOP_13161,天母,25.124204,121.532450
101712-STOP_13163,天母新村,25.121247,121.531348
101712-STOP_12840,八德東寧路口,25.048703,121.563714
101712-STOP_13255,中山北路口(德行),25.106183,121.524101
101712-STOP_12858,西新里(新新公園),25.053230,121.589710
101712-STOP_13268,捷運中山國小站,25.062669,121.525381
101712-STOP_13408,國父紀念館,25.037543,121.561180
101712-STOP_134696,大直美堤花園二,25.080021,121.557483
101712-STOP_13177,捷運石牌站(西安),25.114729,121.515010
101712-STOP_13486,復興路二段,25.044235,121.456478
101712-STOP_13411,基隆路口,25.048310,121.568923
101712-STOP_13577,中研新村,25.045074,121.615639
101712-STOP_136147,政大三街,24.986034,121.582869
101712-STOP_13701,西松國小,25.053597,121.563899
101712-STOP_14426,捷運大坪林站,24.983344,121.541398
101712-STOP_14700,土銀訓練中心,24.952342,121.550110
101712-STOP_142276,網溪國小,25.013451,121.518655
101712-STOP_14707,和平東路4段,25.004681,121.570510
101712-STOP_14594,中正路口,24.971220,121.541900
101712-STOP_14698,青潭新村,24.953240,121.551785
101712-STOP_125322,消防局(忠孝),25.041150,121.569960
101712-STOP_125617,捷運文德站(碧湖公園),25.078402,121.584133
101712-STOP_125627,康寧醫院,25.076003,121.607092
101712-STOP_12847,新湖一路口,25.060592,121.578858
101712-STOP_12869,市立工農(正門),25.040249,121.571830
101712-STOP_130112,永倫里(南),25.089298,121.504244
101712-STOP_13129,南京寧安街口,25.051594,121.554698
101712-STOP_13142,捷運昆陽站,25.050052,121.593060
101712-STOP_134712,圓山大飯店,25.077322,121.527964
101712-STOP_13532,三玉宮,25.118239,121.531107
101712-STOP_13656,仁愛林森路口,25.038913,121.521155
