trip_id,arrival_time,departure_time,stop_id,stop_sequence
Brown_BR-1_RAIL_HD_DN,06:32:02,06:32:27,BR17,17
Brown_BR-1_RAIL_HD_DN,06:33:39,06:34:04,BR18,18
Brown_BR-1_RAIL_HD_DN,06:35:22,06:35:47,BR19,19
Brown_BR-1_RAIL_HD_DN,06:36:58,06:37:23,BR20,20
Brown_BR-1_RAIL_HD_DN,06:39:24,06:39:49,BR21,21
Brown_BR-1_RAIL_HD_DN,06:41:07,06:41:32,BR22,22
Brown_BR-1_RAIL_HD_DN,06:42:57,06:43:22,BR23,23
Brown_BR-1_RAIL_HD_DN,06:44:40,06:44:40,BR24,24
Green_G-1_RAIL_WD_UP,06:00:00,06:00:00,G19,1
Green_G-1_RAIL_WD_UP,06:02:18,06:02:18,G18,2
Green_G-1_RAIL_WD_UP,06:04:00,06:04:27,G17,3
Green_G-1_RAIL_WD_UP,06:05:51,06:06:18,G16,4
Green_G-1_RAIL_WD_UP,06:07:50,06:08:23,G15,5
Green_G-1_RAIL_WD_UP,06:10:09,06:10:44,G14,6
Green_G-1_RAIL_WD_UP,06:12:40,06:13:15,G13,7
Green_G-1_RAIL_WD_UP,06:14:41,06:15:09,G12,8
Green_G-1_RAIL_WD_UP,06:16:32,06:17:06,G11,9
Green_G-1_RAIL_WD_UP,06:18:22,06:18:49,G10,10
Green_G-1_RAIL_WD_UP,06:20:16,06:20:54,G09,11
Green_G-1_RAIL_WD_UP,06:22:19,06:22:52,G08,12
Green_G-1_RAIL_WD_UP,06:24:11,06:24:41,G07,13
Green_G-1_RAIL_WD_UP,06:26:43,06:27:12,G06,14
Green_G-1_RAIL_WD_UP,06:28:41,06:29:08,G05,15
Green_G-1_RAIL_WD_UP,06:30:40,06:31:07,G04,16
Green_G-1_RAIL_WD_UP,06:32:25,06:32:52,G03,17
Green_G-1_RAIL_WD_UP,06:34:13,06:34:37,G02,18
Green_G-1_RAIL_WD_UP,06:36:28,06:36:53,G01,19
Green_G-1_RAIL_WD_DN,06:00:00,06:00:00,G01,1
Green_G-1_RAIL_WD_DN,06:01:51,06:02:16,G02,2
Green_G-1_RAIL_WD_DN,06:03:37,06:04:01,G03,3
Green_G-1_RAIL_WD_DN,06:05:19,06:05:46,G04,4
Green_G-1_RAIL_WD_DN,06:07:18,06:07:45,G05,5
Green_G-1_RAIL_WD_DN,06:09:14,06:09:41,G06,6
Green_G-1_RAIL_WD_DN,06:11:43,06:12:12,G07,7
Green_G-1_RAIL_WD_DN,06:13:31,06:14:01,G08,8
Green_G-1_RAIL_WD_DN,06:15:26,06:15:59,G09,9
Green_G-1_RAIL_WD_DN,06:17:26,06:18:04,G10,10
Green_G-1_RAIL_WD_DN,06:19:20,06:19:47,G11,11
Green_G-1_RAIL_WD_DN,06:21:10,06:21:44,G12,12
Green_G-1_RAIL_WD_DN,06:23:10,06:23:38,G13,13
Green_G-1_RAIL_WD_DN,06:25:34,06:26:09,G14,14
Green_G-1_RAIL_WD_DN,06:27:55,06:28:30,G15,15
Green_G-1_RAIL_WD_DN,06:30:02,06:30:35,G16,16
Green_G-1_RAIL_WD_DN,06:31:59,06:32:26,G17,17
Green_G-1_RAIL_WD_DN,06:34:08,06:34:35,G18,18
Green_G-1_RAIL_WD_DN,06:36:53,06:36:53,G19,19
Green_G-1_RAIL_HD_UP,06:00:00,06:00:00,G19,1
Green_G-1_RAIL_HD_UP,06:02:18,06:02:18,G18,2
Green_G-1_RAIL_HD_UP,06:04:00,06:04:27,G17,3
Green_G-1_RAIL_HD_UP,06:05:51,06:06:18,G16,4
Green_G-1_RAIL_HD_UP,06:07:50,06:08:23,G15,5
